removed_pixels_percentage,deletion_confidence,deletion_auc,insertion_confidence,insertion_auc
0.000000,0.765931,0.285164,0.009995,0.537614
1.000000,0.707464,0.285164,0.020501,0.537614
2.000000,0.678907,0.285164,0.037062,0.537614
3.000000,0.656928,0.285164,0.057490,0.537614
4.000000,0.638617,0.285164,0.080471,0.537614
5.000000,0.621751,0.285164,0.103414,0.537614
6.000000,0.605350,0.285164,0.127766,0.537614
7.000000,0.590470,0.285164,0.150256,0.537614
8.000000,0.576299,0.285164,0.171292,0.537614
9.000000,0.563256,0.285164,0.192465,0.537614
10.000000,0.550256,0.285164,0.212667,0.537614
11.000000,0.537967,0.285164,0.232020,0.537614
12.000000,0.526336,0.285164,0.250031,0.537614
13.000000,0.515435,0.285164,0.267361,0.537614
14.000000,0.505780,0.285164,0.282593,0.537614
15.000000,0.495675,0.285164,0.297779,0.537614
16.000000,0.485942,0.285164,0.313503,0.537614
17.000000,0.477231,0.285164,0.327185,0.537614
18.000000,0.468659,0.285164,0.340257,0.537614
19.000000,0.460520,0.285164,0.352405,0.537614
20.000000,0.452266,0.285164,0.363981,0.537614
21.000000,0.444836,0.285164,0.374993,0.537614
22.000000,0.437185,0.285164,0.386537,0.537614
23.000000,0.429928,0.285164,0.397435,0.537614
24.000000,0.422617,0.285164,0.407248,0.537614
25.000000,0.415146,0.285164,0.416570,0.537614
26.000000,0.408677,0.285164,0.426231,0.537614
27.000000,0.402128,0.285164,0.435196,0.537614
28.000000,0.396078,0.285164,0.443998,0.537614
29.000000,0.390190,0.285164,0.452574,0.537614
30.000000,0.384035,0.285164,0.461204,0.537614
31.000000,0.377740,0.285164,0.469280,0.537614
32.000000,0.372225,0.285164,0.476677,0.537614
33.000000,0.366549,0.285164,0.485144,0.537614
34.000000,0.360863,0.285164,0.493257,0.537614
35.000000,0.355172,0.285164,0.501423,0.537614
36.000000,0.349799,0.285164,0.508574,0.537614
37.000000,0.343805,0.285164,0.515918,0.537614
38.000000,0.338108,0.285164,0.522540,0.537614
39.000000,0.332670,0.285164,0.529020,0.537614
40.000000,0.327000,0.285164,0.535560,0.537614
41.000000,0.321168,0.285164,0.541816,0.537614
42.000000,0.315526,0.285164,0.548496,0.537614
43.000000,0.309996,0.285164,0.555273,0.537614
44.000000,0.303920,0.285164,0.561071,0.537614
45.000000,0.298287,0.285164,0.567147,0.537614
46.000000,0.292967,0.285164,0.573316,0.537614
47.000000,0.287469,0.285164,0.578737,0.537614
48.000000,0.282182,0.285164,0.584285,0.537614
49.000000,0.276557,0.285164,0.589720,0.537614
50.000000,0.270452,0.285164,0.595672,0.537614
51.000000,0.265012,0.285164,0.601330,0.537614
52.000000,0.259575,0.285164,0.606391,0.537614
53.000000,0.254188,0.285164,0.611722,0.537614
54.000000,0.247891,0.285164,0.617011,0.537614
55.000000,0.242094,0.285164,0.621590,0.537614
56.000000,0.236403,0.285164,0.626205,0.537614
57.000000,0.230423,0.285164,0.631254,0.537614
58.000000,0.224667,0.285164,0.636269,0.537614
59.000000,0.219364,0.285164,0.641358,0.537614
60.000000,0.214337,0.285164,0.645909,0.537614
61.000000,0.208593,0.285164,0.650834,0.537614
62.000000,0.203144,0.285164,0.655173,0.537614
63.000000,0.196465,0.285164,0.659295,0.537614
64.000000,0.190916,0.285164,0.663986,0.537614
65.000000,0.184920,0.285164,0.668424,0.537614
66.000000,0.179010,0.285164,0.672450,0.537614
67.000000,0.173484,0.285164,0.676806,0.537614
68.000000,0.167015,0.285164,0.680302,0.537614
69.000000,0.161338,0.285164,0.684257,0.537614
70.000000,0.155898,0.285164,0.688654,0.537614
71.000000,0.150457,0.285164,0.692269,0.537614
72.000000,0.144855,0.285164,0.696167,0.537614
73.000000,0.139059,0.285164,0.699828,0.537614
74.000000,0.132743,0.285164,0.703616,0.537614
75.000000,0.126762,0.285164,0.707169,0.537614
76.000000,0.121154,0.285164,0.710255,0.537614
77.000000,0.115169,0.285164,0.713846,0.537614
78.000000,0.109651,0.285164,0.716935,0.537614
79.000000,0.103873,0.285164,0.720212,0.537614
80.000000,0.098595,0.285164,0.723324,0.537614
81.000000,0.092600,0.285164,0.726227,0.537614
82.000000,0.087491,0.285164,0.729046,0.537614
83.000000,0.082079,0.285164,0.732118,0.537614
84.000000,0.077150,0.285164,0.734914,0.537614
85.000000,0.072192,0.285164,0.737805,0.537614
86.000000,0.067063,0.285164,0.740432,0.537614
87.000000,0.061752,0.285164,0.742992,0.537614
88.000000,0.056729,0.285164,0.745495,0.537614
89.000000,0.052241,0.285164,0.748371,0.537614
90.000000,0.047466,0.285164,0.750720,0.537614
91.000000,0.043298,0.285164,0.753146,0.537614
92.000000,0.038667,0.285164,0.755469,0.537614
93.000000,0.034622,0.285164,0.757361,0.537614
94.000000,0.030745,0.285164,0.759238,0.537614
95.000000,0.026300,0.285164,0.761355,0.537614
96.000000,0.022956,0.285164,0.762813,0.537614
97.000000,0.019808,0.285164,0.764617,0.537614
98.000000,0.016256,0.285164,0.765943,0.537614
99.000000,0.013272,0.285164,0.766882,0.537614
100.000000,0.010699,0.285164,0.766406,0.537614
