removed_pixels_percentage,deletion_confidence,deletion_auc,insertion_confidence,insertion_auc
0.000000,0.765931,0.285595,0.009995,0.540938
1.000000,0.723571,0.285595,0.015669,0.540938
2.000000,0.701847,0.285595,0.023013,0.540938
3.000000,0.683884,0.285595,0.033419,0.540938
4.000000,0.668694,0.285595,0.044058,0.540938
5.000000,0.654733,0.285595,0.057037,0.540938
6.000000,0.642176,0.285595,0.070694,0.540938
7.000000,0.630394,0.285595,0.085168,0.540938
8.000000,0.619576,0.285595,0.099634,0.540938
9.000000,0.608041,0.285595,0.114558,0.540938
10.000000,0.596728,0.285595,0.128947,0.540938
11.000000,0.586666,0.285595,0.144920,0.540938
12.000000,0.575938,0.285595,0.160963,0.540938
13.000000,0.565134,0.285595,0.176483,0.540938
14.000000,0.555087,0.285595,0.192887,0.540938
15.000000,0.545177,0.285595,0.208022,0.540938
16.000000,0.535596,0.285595,0.223322,0.540938
17.000000,0.525977,0.285595,0.239240,0.540938
18.000000,0.516496,0.285595,0.254970,0.540938
19.000000,0.507286,0.285595,0.271623,0.540938
20.000000,0.497781,0.285595,0.287104,0.540938
21.000000,0.488565,0.285595,0.302784,0.540938
22.000000,0.479803,0.285595,0.317588,0.540938
23.000000,0.470386,0.285595,0.331667,0.540938
24.000000,0.461735,0.285595,0.346165,0.540938
25.000000,0.452621,0.285595,0.361165,0.540938
26.000000,0.443505,0.285595,0.375411,0.540938
27.000000,0.434725,0.285595,0.390079,0.540938
28.000000,0.426171,0.285595,0.403074,0.540938
29.000000,0.417412,0.285595,0.415951,0.540938
30.000000,0.408384,0.285595,0.429324,0.540938
31.000000,0.399423,0.285595,0.442044,0.540938
32.000000,0.391070,0.285595,0.454713,0.540938
33.000000,0.382415,0.285595,0.467636,0.540938
34.000000,0.373867,0.285595,0.478893,0.540938
35.000000,0.365743,0.285595,0.490983,0.540938
36.000000,0.357431,0.285595,0.501833,0.540938
37.000000,0.349038,0.285595,0.514301,0.540938
38.000000,0.340879,0.285595,0.524843,0.540938
39.000000,0.332545,0.285595,0.535976,0.540938
40.000000,0.324345,0.285595,0.545709,0.540938
41.000000,0.316751,0.285595,0.556032,0.540938
42.000000,0.309332,0.285595,0.565536,0.540938
43.000000,0.301741,0.285595,0.575321,0.540938
44.000000,0.293485,0.285595,0.584279,0.540938
45.000000,0.285406,0.285595,0.593379,0.540938
46.000000,0.277933,0.285595,0.601872,0.540938
47.000000,0.270536,0.285595,0.610572,0.540938
48.000000,0.263054,0.285595,0.619239,0.540938
49.000000,0.255353,0.285595,0.626863,0.540938
50.000000,0.248328,0.285595,0.634090,0.540938
51.000000,0.241402,0.285595,0.641542,0.540938
52.000000,0.234563,0.285595,0.648461,0.540938
53.000000,0.227327,0.285595,0.655225,0.540938
54.000000,0.220651,0.285595,0.661768,0.540938
55.000000,0.213871,0.285595,0.668048,0.540938
56.000000,0.207302,0.285595,0.674629,0.540938
57.000000,0.201182,0.285595,0.681024,0.540938
58.000000,0.194502,0.285595,0.686452,0.540938
59.000000,0.188392,0.285595,0.691516,0.540938
60.000000,0.182407,0.285595,0.697431,0.540938
61.000000,0.176727,0.285595,0.702340,0.540938
62.000000,0.170580,0.285595,0.707225,0.540938
63.000000,0.164471,0.285595,0.712289,0.540938
64.000000,0.158512,0.285595,0.717091,0.540938
65.000000,0.152840,0.285595,0.721857,0.540938
66.000000,0.146766,0.285595,0.725865,0.540938
67.000000,0.141736,0.285595,0.730017,0.540938
68.000000,0.135943,0.285595,0.734380,0.540938
69.000000,0.130580,0.285595,0.738205,0.540938
70.000000,0.125204,0.285595,0.741665,0.540938
71.000000,0.119413,0.285595,0.744696,0.540938
72.000000,0.114455,0.285595,0.748067,0.540938
73.000000,0.109700,0.285595,0.750917,0.540938
74.000000,0.104608,0.285595,0.753864,0.540938
75.000000,0.099230,0.285595,0.756572,0.540938
76.000000,0.094207,0.285595,0.759507,0.540938
77.000000,0.088875,0.285595,0.761859,0.540938
78.000000,0.084451,0.285595,0.764068,0.540938
79.000000,0.079633,0.285595,0.766117,0.540938
80.000000,0.075121,0.285595,0.767823,0.540938
81.000000,0.070685,0.285595,0.769751,0.540938
82.000000,0.066557,0.285595,0.771666,0.540938
83.000000,0.061952,0.285595,0.773319,0.540938
84.000000,0.057947,0.285595,0.774778,0.540938
85.000000,0.054544,0.285595,0.776026,0.540938
86.000000,0.050809,0.285595,0.777058,0.540938
87.000000,0.047402,0.285595,0.778422,0.540938
88.000000,0.043667,0.285595,0.779100,0.540938
89.000000,0.040126,0.285595,0.779717,0.540938
90.000000,0.036687,0.285595,0.780117,0.540938
91.000000,0.033230,0.285595,0.780659,0.540938
92.000000,0.029769,0.285595,0.780854,0.540938
93.000000,0.026812,0.285595,0.780921,0.540938
94.000000,0.023793,0.285595,0.780514,0.540938
95.000000,0.020775,0.285595,0.779555,0.540938
96.000000,0.018293,0.285595,0.778634,0.540938
97.000000,0.015683,0.285595,0.777088,0.540938
98.000000,0.013424,0.285595,0.774967,0.540938
99.000000,0.011832,0.285595,0.772083,0.540938
100.000000,0.010292,0.285595,0.767913,0.540938
