removed_pixels_percentage,deletion_confidence,deletion_auc,insertion_confidence,insertion_auc
0.000000,0.765931,0.213792,0.009995,0.600462
1.000000,0.704849,0.213792,0.020821,0.600462
2.000000,0.674937,0.213792,0.037020,0.600462
3.000000,0.651977,0.213792,0.056997,0.600462
4.000000,0.631632,0.213792,0.080551,0.600462
5.000000,0.613344,0.213792,0.103799,0.600462
6.000000,0.595943,0.213792,0.128623,0.600462
7.000000,0.578900,0.213792,0.152372,0.600462
8.000000,0.563256,0.213792,0.175904,0.600462
9.000000,0.547585,0.213792,0.199655,0.600462
10.000000,0.532880,0.213792,0.223394,0.600462
11.000000,0.518241,0.213792,0.245253,0.600462
12.000000,0.503869,0.213792,0.268536,0.600462
13.000000,0.490352,0.213792,0.290125,0.600462
14.000000,0.477907,0.213792,0.311181,0.600462
15.000000,0.464202,0.213792,0.330293,0.600462
16.000000,0.450793,0.213792,0.350017,0.600462
17.000000,0.438365,0.213792,0.369450,0.600462
18.000000,0.425923,0.213792,0.387628,0.600462
19.000000,0.413450,0.213792,0.404994,0.600462
20.000000,0.401190,0.213792,0.422797,0.600462
21.000000,0.389779,0.213792,0.440104,0.600462
22.000000,0.378553,0.213792,0.457302,0.600462
23.000000,0.368295,0.213792,0.472488,0.600462
24.000000,0.356899,0.213792,0.487995,0.600462
25.000000,0.346419,0.213792,0.502939,0.600462
26.000000,0.335973,0.213792,0.517257,0.600462
27.000000,0.325785,0.213792,0.531340,0.600462
28.000000,0.316377,0.213792,0.544569,0.600462
29.000000,0.306265,0.213792,0.556554,0.600462
30.000000,0.296504,0.213792,0.568704,0.600462
31.000000,0.286711,0.213792,0.579322,0.600462
32.000000,0.278151,0.213792,0.591135,0.600462
33.000000,0.269302,0.213792,0.601427,0.600462
34.000000,0.260315,0.213792,0.610939,0.600462
35.000000,0.251829,0.213792,0.620815,0.600462
36.000000,0.243487,0.213792,0.629717,0.600462
37.000000,0.234919,0.213792,0.638569,0.600462
38.000000,0.227102,0.213792,0.646324,0.600462
39.000000,0.219014,0.213792,0.653440,0.600462
40.000000,0.211173,0.213792,0.660620,0.600462
41.000000,0.203034,0.213792,0.667416,0.600462
42.000000,0.195581,0.213792,0.673568,0.600462
43.000000,0.188726,0.213792,0.679256,0.600462
44.000000,0.181935,0.213792,0.684871,0.600462
45.000000,0.174731,0.213792,0.690216,0.600462
46.000000,0.168090,0.213792,0.694852,0.600462
47.000000,0.161838,0.213792,0.699515,0.600462
48.000000,0.155693,0.213792,0.703766,0.600462
49.000000,0.149935,0.213792,0.708211,0.600462
50.000000,0.144037,0.213792,0.711830,0.600462
51.000000,0.138233,0.213792,0.715215,0.600462
52.000000,0.132816,0.213792,0.718936,0.600462
53.000000,0.127736,0.213792,0.722489,0.600462
54.000000,0.122571,0.213792,0.725526,0.600462
55.000000,0.117660,0.213792,0.728299,0.600462
56.000000,0.112757,0.213792,0.730754,0.600462
57.000000,0.108017,0.213792,0.733204,0.600462
58.000000,0.103221,0.213792,0.735414,0.600462
59.000000,0.098583,0.213792,0.737906,0.600462
60.000000,0.094559,0.213792,0.739512,0.600462
61.000000,0.090386,0.213792,0.741539,0.600462
62.000000,0.085973,0.213792,0.743380,0.600462
63.000000,0.082759,0.213792,0.744980,0.600462
64.000000,0.079031,0.213792,0.746410,0.600462
65.000000,0.075119,0.213792,0.747889,0.600462
66.000000,0.071471,0.213792,0.749240,0.600462
67.000000,0.068330,0.213792,0.750186,0.600462
68.000000,0.065012,0.213792,0.751520,0.600462
69.000000,0.061897,0.213792,0.752584,0.600462
70.000000,0.058971,0.213792,0.753534,0.600462
71.000000,0.055905,0.213792,0.754636,0.600462
72.000000,0.053095,0.213792,0.755560,0.600462
73.000000,0.049991,0.213792,0.756263,0.600462
74.000000,0.046931,0.213792,0.757101,0.600462
75.000000,0.044347,0.213792,0.757939,0.600462
76.000000,0.041667,0.213792,0.758559,0.600462
77.000000,0.039110,0.213792,0.758728,0.600462
78.000000,0.036985,0.213792,0.759335,0.600462
79.000000,0.035128,0.213792,0.759832,0.600462
80.000000,0.033087,0.213792,0.760630,0.600462
81.000000,0.030878,0.213792,0.761300,0.600462
82.000000,0.029271,0.213792,0.761437,0.600462
83.000000,0.027458,0.213792,0.761826,0.600462
84.000000,0.025795,0.213792,0.762233,0.600462
85.000000,0.024197,0.213792,0.762818,0.600462
86.000000,0.022953,0.213792,0.763193,0.600462
87.000000,0.021179,0.213792,0.763707,0.600462
88.000000,0.019809,0.213792,0.763850,0.600462
89.000000,0.018478,0.213792,0.764402,0.600462
90.000000,0.017320,0.213792,0.764677,0.600462
91.000000,0.016238,0.213792,0.765133,0.600462
92.000000,0.015178,0.213792,0.765457,0.600462
93.000000,0.014320,0.213792,0.765917,0.600462
94.000000,0.013404,0.213792,0.766347,0.600462
95.000000,0.012527,0.213792,0.766599,0.600462
96.000000,0.011966,0.213792,0.766912,0.600462
97.000000,0.011539,0.213792,0.767030,0.600462
98.000000,0.010861,0.213792,0.767004,0.600462
99.000000,0.010440,0.213792,0.766711,0.600462
100.000000,0.010047,0.213792,0.766263,0.600462
