removed_pixels_percentage,deletion_confidence,deletion_auc,insertion_confidence,insertion_auc
0.000000,0.765931,0.241516,0.009995,0.591317
1.000000,0.705907,0.241516,0.020547,0.591317
2.000000,0.678481,0.241516,0.035552,0.591317
3.000000,0.657285,0.241516,0.054619,0.591317
4.000000,0.638164,0.241516,0.075574,0.591317
5.000000,0.620662,0.241516,0.097163,0.591317
6.000000,0.605212,0.241516,0.118696,0.591317
7.000000,0.590547,0.241516,0.139645,0.591317
8.000000,0.576796,0.241516,0.160949,0.591317
9.000000,0.563569,0.241516,0.182618,0.591317
10.000000,0.550442,0.241516,0.202800,0.591317
11.000000,0.537947,0.241516,0.222107,0.591317
12.000000,0.525366,0.241516,0.241690,0.591317
13.000000,0.513779,0.241516,0.260431,0.591317
14.000000,0.502114,0.241516,0.278751,0.591317
15.000000,0.490384,0.241516,0.297048,0.591317
16.000000,0.479638,0.241516,0.314011,0.591317
17.000000,0.468099,0.241516,0.331769,0.591317
18.000000,0.457258,0.241516,0.350269,0.591317
19.000000,0.446896,0.241516,0.368397,0.591317
20.000000,0.436781,0.241516,0.385586,0.591317
21.000000,0.426195,0.241516,0.401550,0.591317
22.000000,0.416128,0.241516,0.417339,0.591317
23.000000,0.405362,0.241516,0.434307,0.591317
24.000000,0.395575,0.241516,0.450448,0.591317
25.000000,0.386237,0.241516,0.464817,0.591317
26.000000,0.376192,0.241516,0.479751,0.591317
27.000000,0.366898,0.241516,0.492614,0.591317
28.000000,0.357578,0.241516,0.506212,0.591317
29.000000,0.348401,0.241516,0.519282,0.591317
30.000000,0.338748,0.241516,0.532066,0.591317
31.000000,0.329957,0.241516,0.543920,0.591317
32.000000,0.321200,0.241516,0.556518,0.591317
33.000000,0.312657,0.241516,0.567942,0.591317
34.000000,0.304348,0.241516,0.579828,0.591317
35.000000,0.295461,0.241516,0.590182,0.591317
36.000000,0.287252,0.241516,0.600261,0.591317
37.000000,0.279070,0.241516,0.610280,0.591317
38.000000,0.270706,0.241516,0.619411,0.591317
39.000000,0.262873,0.241516,0.629143,0.591317
40.000000,0.254635,0.241516,0.637906,0.591317
41.000000,0.247404,0.241516,0.645476,0.591317
42.000000,0.240394,0.241516,0.653568,0.591317
43.000000,0.232850,0.241516,0.661097,0.591317
44.000000,0.225845,0.241516,0.667813,0.591317
45.000000,0.219037,0.241516,0.673697,0.591317
46.000000,0.211860,0.241516,0.679813,0.591317
47.000000,0.205443,0.241516,0.685097,0.591317
48.000000,0.198935,0.241516,0.690647,0.591317
49.000000,0.192652,0.241516,0.696207,0.591317
50.000000,0.186722,0.241516,0.701485,0.591317
51.000000,0.180339,0.241516,0.706366,0.591317
52.000000,0.174471,0.241516,0.710822,0.591317
53.000000,0.168367,0.241516,0.714952,0.591317
54.000000,0.162731,0.241516,0.718992,0.591317
55.000000,0.156668,0.241516,0.722729,0.591317
56.000000,0.150920,0.241516,0.726066,0.591317
57.000000,0.145112,0.241516,0.729728,0.591317
58.000000,0.139674,0.241516,0.732859,0.591317
59.000000,0.135060,0.241516,0.735940,0.591317
60.000000,0.130032,0.241516,0.738579,0.591317
61.000000,0.124965,0.241516,0.741238,0.591317
62.000000,0.120384,0.241516,0.744026,0.591317
63.000000,0.115993,0.241516,0.746527,0.591317
64.000000,0.111450,0.241516,0.748810,0.591317
65.000000,0.106895,0.241516,0.750803,0.591317
66.000000,0.103048,0.241516,0.752823,0.591317
67.000000,0.098250,0.241516,0.754993,0.591317
68.000000,0.094085,0.241516,0.756961,0.591317
69.000000,0.090217,0.241516,0.758568,0.591317
70.000000,0.086263,0.241516,0.760342,0.591317
71.000000,0.082320,0.241516,0.761614,0.591317
72.000000,0.078732,0.241516,0.763185,0.591317
73.000000,0.075126,0.241516,0.764475,0.591317
74.000000,0.071792,0.241516,0.765972,0.591317
75.000000,0.068596,0.241516,0.767340,0.591317
76.000000,0.065437,0.241516,0.768488,0.591317
77.000000,0.062374,0.241516,0.769685,0.591317
78.000000,0.058972,0.241516,0.770783,0.591317
79.000000,0.056160,0.241516,0.772005,0.591317
80.000000,0.053391,0.241516,0.772864,0.591317
81.000000,0.050363,0.241516,0.773927,0.591317
82.000000,0.047892,0.241516,0.775189,0.591317
83.000000,0.044967,0.241516,0.775989,0.591317
84.000000,0.041868,0.241516,0.776759,0.591317
85.000000,0.039456,0.241516,0.777546,0.591317
86.000000,0.037181,0.241516,0.778248,0.591317
87.000000,0.034708,0.241516,0.778771,0.591317
88.000000,0.032199,0.241516,0.779607,0.591317
89.000000,0.030008,0.241516,0.780179,0.591317
90.000000,0.028079,0.241516,0.780643,0.591317
91.000000,0.026027,0.241516,0.780900,0.591317
92.000000,0.024186,0.241516,0.781220,0.591317
93.000000,0.021994,0.241516,0.780950,0.591317
94.000000,0.020090,0.241516,0.781057,0.591317
95.000000,0.018206,0.241516,0.780529,0.591317
96.000000,0.016722,0.241516,0.779307,0.591317
97.000000,0.014854,0.241516,0.777761,0.591317
98.000000,0.013184,0.241516,0.775979,0.591317
99.000000,0.011733,0.241516,0.772841,0.591317
100.000000,0.010304,0.241516,0.767697,0.591317
