removed_pixels_percentage,deletion_confidence,deletion_auc,insertion_confidence,insertion_auc
0.000000,0.765931,0.240720,0.009995,0.562538
1.000000,0.729304,0.240720,0.019347,0.562538
2.000000,0.707451,0.240720,0.031924,0.562538
3.000000,0.688234,0.240720,0.048788,0.562538
4.000000,0.670136,0.240720,0.067276,0.562538
5.000000,0.653675,0.240720,0.088542,0.562538
6.000000,0.637529,0.240720,0.107961,0.562538
7.000000,0.622202,0.240720,0.129859,0.562538
8.000000,0.607118,0.240720,0.149506,0.562538
9.000000,0.591225,0.240720,0.169994,0.562538
10.000000,0.576437,0.240720,0.189114,0.562538
11.000000,0.562230,0.240720,0.208710,0.562538
12.000000,0.548733,0.240720,0.228207,0.562538
13.000000,0.534855,0.240720,0.246988,0.562538
14.000000,0.521460,0.240720,0.263944,0.562538
15.000000,0.508216,0.240720,0.281581,0.562538
16.000000,0.494984,0.240720,0.298991,0.562538
17.000000,0.481764,0.240720,0.316789,0.562538
18.000000,0.469242,0.240720,0.332777,0.562538
19.000000,0.457386,0.240720,0.348725,0.562538
20.000000,0.445611,0.240720,0.363514,0.562538
21.000000,0.433892,0.240720,0.379704,0.562538
22.000000,0.422838,0.240720,0.395255,0.562538
23.000000,0.411944,0.240720,0.408141,0.562538
24.000000,0.401309,0.240720,0.421560,0.562538
25.000000,0.390420,0.240720,0.435178,0.562538
26.000000,0.380028,0.240720,0.447801,0.562538
27.000000,0.370388,0.240720,0.460923,0.562538
28.000000,0.359940,0.240720,0.472681,0.562538
29.000000,0.350166,0.240720,0.484021,0.562538
30.000000,0.340169,0.240720,0.495835,0.562538
31.000000,0.329424,0.240720,0.506729,0.562538
32.000000,0.320230,0.240720,0.516768,0.562538
33.000000,0.310639,0.240720,0.528560,0.562538
34.000000,0.301350,0.240720,0.539028,0.562538
35.000000,0.292700,0.240720,0.548790,0.562538
36.000000,0.283400,0.240720,0.558293,0.562538
37.000000,0.275073,0.240720,0.567052,0.562538
38.000000,0.266172,0.240720,0.576228,0.562538
39.000000,0.257735,0.240720,0.584339,0.562538
40.000000,0.249231,0.240720,0.592750,0.562538
41.000000,0.241184,0.240720,0.600876,0.562538
42.000000,0.233327,0.240720,0.608211,0.562538
43.000000,0.225449,0.240720,0.615495,0.562538
44.000000,0.218868,0.240720,0.622758,0.562538
45.000000,0.211981,0.240720,0.629684,0.562538
46.000000,0.204533,0.240720,0.635892,0.562538
47.000000,0.197301,0.240720,0.642003,0.562538
48.000000,0.190344,0.240720,0.647465,0.562538
49.000000,0.184126,0.240720,0.652944,0.562538
50.000000,0.177610,0.240720,0.657847,0.562538
51.000000,0.171085,0.240720,0.663261,0.562538
52.000000,0.165219,0.240720,0.667844,0.562538
53.000000,0.158385,0.240720,0.672413,0.562538
54.000000,0.152111,0.240720,0.676984,0.562538
55.000000,0.146388,0.240720,0.681606,0.562538
56.000000,0.140431,0.240720,0.685844,0.562538
57.000000,0.134749,0.240720,0.690008,0.562538
58.000000,0.129164,0.240720,0.693964,0.562538
59.000000,0.124221,0.240720,0.697600,0.562538
60.000000,0.119145,0.240720,0.700934,0.562538
61.000000,0.114119,0.240720,0.703788,0.562538
62.000000,0.109179,0.240720,0.706958,0.562538
63.000000,0.104383,0.240720,0.710132,0.562538
64.000000,0.099093,0.240720,0.713008,0.562538
65.000000,0.094756,0.240720,0.715555,0.562538
66.000000,0.090484,0.240720,0.717790,0.562538
67.000000,0.086259,0.240720,0.720026,0.562538
68.000000,0.081347,0.240720,0.722636,0.562538
69.000000,0.077517,0.240720,0.725025,0.562538
70.000000,0.073816,0.240720,0.727056,0.562538
71.000000,0.070148,0.240720,0.729161,0.562538
72.000000,0.066269,0.240720,0.730973,0.562538
73.000000,0.062797,0.240720,0.733142,0.562538
74.000000,0.059373,0.240720,0.734936,0.562538
75.000000,0.056360,0.240720,0.736785,0.562538
76.000000,0.052840,0.240720,0.738338,0.562538
77.000000,0.049819,0.240720,0.740265,0.562538
78.000000,0.047168,0.240720,0.741540,0.562538
79.000000,0.044446,0.240720,0.743066,0.562538
80.000000,0.041771,0.240720,0.744295,0.562538
81.000000,0.039153,0.240720,0.745817,0.562538
82.000000,0.036545,0.240720,0.747185,0.562538
83.000000,0.034534,0.240720,0.748751,0.562538
84.000000,0.032414,0.240720,0.749882,0.562538
85.000000,0.030205,0.240720,0.750979,0.562538
86.000000,0.027706,0.240720,0.752189,0.562538
87.000000,0.025605,0.240720,0.753587,0.562538
88.000000,0.023964,0.240720,0.754650,0.562538
89.000000,0.022195,0.240720,0.755926,0.562538
90.000000,0.020565,0.240720,0.757028,0.562538
91.000000,0.018897,0.240720,0.758189,0.562538
92.000000,0.017530,0.240720,0.759372,0.562538
93.000000,0.016434,0.240720,0.760346,0.562538
94.000000,0.014899,0.240720,0.761364,0.562538
95.000000,0.013971,0.240720,0.762625,0.562538
96.000000,0.012967,0.240720,0.763286,0.562538
97.000000,0.011996,0.240720,0.763914,0.562538
98.000000,0.011276,0.240720,0.764873,0.562538
99.000000,0.010679,0.240720,0.765607,0.562538
100.000000,0.010171,0.240720,0.765890,0.562538
