removed_pixels_percentage,deletion_confidence,deletion_auc,insertion_confidence,insertion_auc
0.000000,0.765931,0.237472,0.009995,0.571869
1.000000,0.739747,0.237472,0.016874,0.571869
2.000000,0.720052,0.237472,0.027994,0.571869
3.000000,0.701479,0.237472,0.043778,0.571869
4.000000,0.684245,0.237472,0.061919,0.571869
5.000000,0.667930,0.237472,0.081527,0.571869
6.000000,0.651875,0.237472,0.101543,0.571869
7.000000,0.637210,0.237472,0.123397,0.571869
8.000000,0.622440,0.237472,0.145323,0.571869
9.000000,0.607102,0.237472,0.165689,0.571869
10.000000,0.592573,0.237472,0.186429,0.571869
11.000000,0.578202,0.237472,0.207767,0.571869
12.000000,0.563989,0.237472,0.226813,0.571869
13.000000,0.549600,0.237472,0.245322,0.571869
14.000000,0.535697,0.237472,0.265390,0.571869
15.000000,0.521754,0.237472,0.283827,0.571869
16.000000,0.508935,0.237472,0.301680,0.571869
17.000000,0.495062,0.237472,0.320117,0.571869
18.000000,0.481596,0.237472,0.337905,0.571869
19.000000,0.469024,0.237472,0.355109,0.571869
20.000000,0.456123,0.237472,0.372286,0.571869
21.000000,0.443785,0.237472,0.388297,0.571869
22.000000,0.431583,0.237472,0.403795,0.571869
23.000000,0.419086,0.237472,0.419256,0.571869
24.000000,0.406950,0.237472,0.434003,0.571869
25.000000,0.394653,0.237472,0.449704,0.571869
26.000000,0.382976,0.237472,0.464545,0.571869
27.000000,0.371375,0.237472,0.478738,0.571869
28.000000,0.360180,0.237472,0.492486,0.571869
29.000000,0.348842,0.237472,0.504534,0.571869
30.000000,0.338111,0.237472,0.516512,0.571869
31.000000,0.327655,0.237472,0.528279,0.571869
32.000000,0.317148,0.237472,0.540312,0.571869
33.000000,0.306810,0.237472,0.550867,0.571869
34.000000,0.296934,0.237472,0.561083,0.571869
35.000000,0.286583,0.237472,0.571365,0.571869
36.000000,0.276762,0.237472,0.581767,0.571869
37.000000,0.267010,0.237472,0.590433,0.571869
38.000000,0.257811,0.237472,0.599125,0.571869
39.000000,0.248782,0.237472,0.608281,0.571869
40.000000,0.239398,0.237472,0.615588,0.571869
41.000000,0.230606,0.237472,0.623196,0.571869
42.000000,0.221819,0.237472,0.630517,0.571869
43.000000,0.214173,0.237472,0.636955,0.571869
44.000000,0.206130,0.237472,0.643420,0.571869
45.000000,0.198342,0.237472,0.649783,0.571869
46.000000,0.190905,0.237472,0.655537,0.571869
47.000000,0.183619,0.237472,0.661415,0.571869
48.000000,0.176094,0.237472,0.667023,0.571869
49.000000,0.169820,0.237472,0.672195,0.571869
50.000000,0.162920,0.237472,0.676741,0.571869
51.000000,0.156498,0.237472,0.681919,0.571869
52.000000,0.149590,0.237472,0.686150,0.571869
53.000000,0.143661,0.237472,0.690869,0.571869
54.000000,0.137647,0.237472,0.694522,0.571869
55.000000,0.131415,0.237472,0.698290,0.571869
56.000000,0.125262,0.237472,0.701570,0.571869
57.000000,0.119684,0.237472,0.705072,0.571869
58.000000,0.113895,0.237472,0.708264,0.571869
59.000000,0.108800,0.237472,0.711383,0.571869
60.000000,0.103617,0.237472,0.714289,0.571869
61.000000,0.097866,0.237472,0.717055,0.571869
62.000000,0.093216,0.237472,0.719837,0.571869
63.000000,0.089252,0.237472,0.722356,0.571869
64.000000,0.084964,0.237472,0.724930,0.571869
65.000000,0.081275,0.237472,0.726835,0.571869
66.000000,0.077116,0.237472,0.728814,0.571869
67.000000,0.073375,0.237472,0.730407,0.571869
68.000000,0.069323,0.237472,0.732301,0.571869
69.000000,0.066117,0.237472,0.734283,0.571869
70.000000,0.062751,0.237472,0.735726,0.571869
71.000000,0.059495,0.237472,0.737351,0.571869
72.000000,0.056275,0.237472,0.738958,0.571869
73.000000,0.052919,0.237472,0.740252,0.571869
74.000000,0.049986,0.237472,0.741682,0.571869
75.000000,0.046554,0.237472,0.743014,0.571869
76.000000,0.043974,0.237472,0.744303,0.571869
77.000000,0.041514,0.237472,0.745528,0.571869
78.000000,0.038616,0.237472,0.746586,0.571869
79.000000,0.036151,0.237472,0.747927,0.571869
80.000000,0.033851,0.237472,0.749058,0.571869
81.000000,0.031534,0.237472,0.750251,0.571869
82.000000,0.029443,0.237472,0.751080,0.571869
83.000000,0.027519,0.237472,0.752090,0.571869
84.000000,0.025940,0.237472,0.753236,0.571869
85.000000,0.024376,0.237472,0.754297,0.571869
86.000000,0.022779,0.237472,0.755207,0.571869
87.000000,0.021372,0.237472,0.756271,0.571869
88.000000,0.019839,0.237472,0.757123,0.571869
89.000000,0.018167,0.237472,0.757959,0.571869
90.000000,0.016966,0.237472,0.758987,0.571869
91.000000,0.016026,0.237472,0.759708,0.571869
92.000000,0.015022,0.237472,0.760470,0.571869
93.000000,0.014202,0.237472,0.761266,0.571869
94.000000,0.013307,0.237472,0.762179,0.571869
95.000000,0.012536,0.237472,0.763087,0.571869
96.000000,0.011653,0.237472,0.764023,0.571869
97.000000,0.011190,0.237472,0.764621,0.571869
98.000000,0.010796,0.237472,0.765353,0.571869
99.000000,0.010382,0.237472,0.765774,0.571869
100.000000,0.010105,0.237472,0.765903,0.571869
